Transaction ID,Transaction Price,datetime_column
15868,7.54,2018-02-01
4472,8.19,2018-02-01
974,10.89,2018-02-01
3795,11.92,2018-02-01
125,11.92,2018-02-01
4489,11.92,2018-02-01
10735,11.92,2018-02-01
13852,11.92,2018-02-01
4803,11.92,2018-02-01
9470,11.92,2018-02-01
271,11.96,2018-02-01
627,12.38,2018-02-01
11645,12.38,2018-02-01
12771,12.65,2018-02-01
11605,12.94,2018-02-01
1079,12.95,2018-02-01
15783,13.51,2018-02-01
1989,13.51,2018-02-01
13848,13.51,2018-02-01
50,13.66,2018-02-01
3599,13.66,2018-02-01
9805,13.66,2018-02-01
12327,13.66,2018-02-01
7779,14.08,2018-02-01
17724,14.08,2018-02-01
427,14.08,2018-02-01
8093,14.08,2018-02-01
2712,14.08,2018-02-01
3968,14.08,2018-02-01
4397,14.08,2018-02-01
11205,14.08,2018-02-01
2255,14.08,2018-02-01
1164,14.08,2018-02-01
955,14.08,2018-02-01
10403,14.08,2018-02-01
17082,14.08,2018-02-01
10957,14.13,2018-02-01
17711,14.29,2018-02-01
15288,14.29,2018-02-01
10318,14.29,2018-02-01
18030,14.29,2018-02-01
10613,14.29,2018-02-01
10030,14.29,2018-02-01
17730,14.29,2018-02-01
5022,14.31,2018-02-01
456,14.31,2018-02-01
7552,14.31,2018-02-01
11135,14.31,2018-02-01
11764,14.31,2018-02-01
325,14.31,2018-02-01
529,14.31,2018-02-01
770,14.31,2018-02-01
3738,14.31,2018-02-01
8830,14.31,2018-02-01
15350,14.31,2018-02-01
178,14.52,2018-02-01
3173,14.52,2018-02-01
4459,14.52,2018-02-01
447,14.52,2018-02-01
798,14.52,2018-02-01
1044,14.52,2018-02-01
3638,14.52,2018-02-01
4173,14.52,2018-02-01
7613,14.52,2018-02-01
9461,14.52,2018-02-01
9978,14.52,2018-02-01
12948,14.52,2018-02-01
13134,14.52,2018-02-01
13252,14.52,2018-02-01
13469,14.52,2018-02-01
13689,14.52,2018-02-01
14354,14.52,2018-02-01
15780,14.52,2018-02-01
15830,14.52,2018-02-01
16463,14.52,2018-02-01
619,14.52,2018-02-01
1189,14.52,2018-02-01
1631,14.52,2018-02-01
1934,14.52,2018-02-01
2128,14.52,2018-02-01
2785,14.52,2018-02-01
3406,14.52,2018-02-01
6001,14.52,2018-02-01
7315,14.52,2018-02-01
12077,14.52,2018-02-01
12897,14.52,2018-02-01
14054,14.52,2018-02-01
16153,14.52,2018-02-01
16315,14.52,2018-02-01
16974,14.52,2018-02-01
15365,14.52,2018-02-01
11469,14.52,2018-02-01
1467,15.08,2018-02-01
6952,15.08,2018-02-01
15716,15.08,2018-02-01
2977,15.08,2018-02-01
3951,15.08,2018-02-01
4675,15.08,2018-02-01
5740,15.08,2018-02-01
8114,15.08,2018-02-01
8309,15.08,2018-02-01
8485,15.08,2018-02-01
9425,15.08,2018-02-01
10044,15.08,2018-02-01
14556,15.08,2018-02-01
14786,15.08,2018-02-01
14800,15.08,2018-02-01
2175,15.08,2018-02-01
2928,15.08,2018-02-01
6172,15.08,2018-02-01
8971,15.08,2018-02-01
13005,15.08,2018-02-01
14624,15.16,2018-02-01
5861,15.16,2018-02-01
558,15.31,2018-02-01
572,15.31,2018-02-01
2093,15.31,2018-02-01
8109,15.31,2018-02-01
9607,15.31,2018-02-01
12563,15.31,2018-02-01
17429,15.31,2018-02-01
17450,15.31,2018-02-01
10152,15.31,2018-02-01
820,15.46,2018-02-01
2987,15.57,2018-02-01
5429,15.76,2018-02-01
1902,15.76,2018-02-01
13552,15.84,2018-02-01
602,15.84,2018-02-01
7923,16.05,2018-02-01
4266,16.11,2018-02-01
15577,16.11,2018-02-01
1549,16.11,2018-02-01
6216,16.11,2018-02-01
1373,16.11,2018-02-01
2558,16.11,2018-02-01
2782,16.11,2018-02-01
3544,16.11,2018-02-01
5243,16.11,2018-02-01
6926,16.11,2018-02-01
7856,16.11,2018-02-01
8893,16.11,2018-02-01
1357,16.11,2018-02-01
2281,16.11,2018-02-01
2963,16.11,2018-02-01
3224,16.11,2018-02-01
3225,16.11,2018-02-01
3984,16.11,2018-02-01
4769,16.11,2018-02-01
5013,16.11,2018-02-01
6059,16.11,2018-02-01
6239,16.11,2018-02-01
6581,16.11,2018-02-01
6632,16.11,2018-02-01
6902,16.11,2018-02-01
7104,16.11,2018-02-01
10084,16.11,2018-02-01
12932,16.11,2018-02-01
12940,16.11,2018-02-01
13468,16.11,2018-02-01
14748,16.11,2018-02-01
15418,16.11,2018-02-01
16690,16.11,2018-02-01
1854,16.11,2018-02-01
3706,16.11,2018-02-01
14279,16.11,2018-02-01
14955,16.11,2018-02-01
4434,16.38,2018-02-01
1650,16.45,2018-02-01
6633,16.45,2018-02-01
3503,16.45,2018-02-01
5502,16.45,2018-02-01
5943,16.45,2018-02-01
11561,16.45,2018-02-01
13370,16.52,2018-02-01
15358,16.73,2018-02-01
3119,17.0,2018-02-01
12803,17.0,2018-02-01
13374,17.16,2018-02-01
9557,17.16,2018-02-01
13375,17.16,2018-02-01
5880,17.16,2018-02-01
11712,17.39,2018-02-01
535,17.39,2018-02-01
4349,17.39,2018-02-01
15761,17.39,2018-02-01
9919,17.5,2018-02-01
9215,17.5,2018-02-01
9457,17.5,2018-02-01
2283,17.51,2018-02-01
4669,17.51,2018-02-01
4847,17.51,2018-02-01
13333,17.51,2018-02-01
15937,17.51,2018-02-01
139,17.51,2018-02-01
7902,17.75,2018-02-01
5759,17.89,2018-02-01
8471,17.89,2018-02-01
2194,18.3,2018-02-01
3191,18.32,2018-02-01
5230,18.32,2018-02-01
7600,18.32,2018-02-01
8363,18.32,2018-02-01
9377,18.32,2018-02-01
5272,19.23,2018-02-01
12478,19.23,2018-02-01
9935,19.26,2018-02-01
13785,19.26,2018-02-01
316,19.26,2018-02-01
712,19.26,2018-02-01
1544,19.26,2018-02-01
1888,19.26,2018-02-01
4879,19.26,2018-02-01
5879,19.26,2018-02-01
7916,19.26,2018-02-01
8330,19.26,2018-02-01
8418,19.26,2018-02-01
11909,19.26,2018-02-01
12424,19.26,2018-02-01
13342,19.26,2018-02-01
13643,19.26,2018-02-01
13858,19.26,2018-02-01
14978,19.26,2018-02-01
16834,19.26,2018-02-01
14795,19.26,2018-02-01
11456,19.26,2018-02-01
3672,21.98,2018-02-01
17536,27.67,2018-02-01
10316,27.67,2018-02-01
17884,29.15,2018-02-01
2545,45.08,2018-02-01
3250,45.08,2018-02-01
5779,45.08,2018-02-01
5961,45.08,2018-02-01
8906,45.08,2018-02-01
12171,45.08,2018-02-01
14853,45.08,2018-02-01
9008,18.32,2018-03-01
14418,18.32,2018-03-01
16323,18.32,2018-03-01
11423,2.51,2018-03-01
14414,2.51,2018-03-01
13779,3.02,2018-03-01
12533,6.53,2018-03-01
13028,6.53,2018-03-01
2186,7.54,2018-03-01
2678,7.54,2018-03-01
5593,7.54,2018-03-01
7433,7.54,2018-03-01
10994,7.54,2018-03-01
11719,7.54,2018-03-01
14394,7.54,2018-03-01
14596,7.54,2018-03-01
15477,8.46,2018-03-01
12315,10.38,2018-03-01
1539,11.31,2018-03-01
10577,11.49,2018-03-01
15371,11.49,2018-03-01
13540,11.49,2018-03-01
6941,11.92,2018-03-01
8107,11.96,2018-03-01
2513,11.99,2018-03-01
3431,11.99,2018-03-01
4292,11.99,2018-03-01
7967,11.99,2018-03-01
5194,11.99,2018-03-01
14388,12.29,2018-03-01
6037,12.38,2018-03-01
351,12.38,2018-03-01
554,12.38,2018-03-01
2790,12.38,2018-03-01
9109,12.5,2018-03-01
12686,12.5,2018-03-01
17115,12.5,2018-03-01
7550,12.5,2018-03-01
821,12.95,2018-03-01
7256,13.51,2018-03-01
9448,13.51,2018-03-01
17287,13.51,2018-03-01
17544,13.66,2018-03-01
14042,13.66,2018-03-01
17060,13.66,2018-03-01
17086,13.66,2018-03-01
17234,13.66,2018-03-01
11923,14.06,2018-03-01
14301,14.06,2018-03-01
8035,14.08,2018-03-01
10267,14.08,2018-03-01
6113,14.08,2018-03-01
7071,14.08,2018-03-01
13513,14.19,2018-03-01
5881,14.19,2018-03-01
10711,14.29,2018-03-01
8877,14.29,2018-03-01
10905,14.29,2018-03-01
17105,14.29,2018-03-01
9363,14.29,2018-03-01
9385,14.29,2018-03-01
2131,14.31,2018-03-01
8158,14.31,2018-03-01
4428,14.31,2018-03-01
6100,14.31,2018-03-01
13524,14.31,2018-03-01
14966,14.31,2018-03-01
17058,14.31,2018-03-01
3057,14.31,2018-03-01
